,Ready,Label
84,debatfinalpilkadajkt mohon tenang,0
85,no membicarakan program melulu iya bhan iya serang lawan capek dehh debatfinaldki debatfinalpilkadajkt,0
86,cinta ahok pokok nya debatfinalpilkadajkt,0
87,debatfinalpilkadajkt pengen foto ahok lho,0
88,mas agus akui malam rambut bagus debatfinalpilkadajkt,0
89,"ahok janji berani tutup hiburan malam jual narkotika, psikotropika, dan obat terlarang",0
90,agus sylvi sisipkan bahasa jawa debat,0
91,ahok perhatikan penyandang disabilitas jauuuh kandidat berjanji nobarahokdjarot badjapastijuara,0
92,ahok keren debatfinalpilkadajkt,0
93,iya tim ahok disudutkan final kali ya,0
94,fakta asal bunyi badjapastimenang debatfinalpilkadajkt,0
95,meme cctv debatfinalpilkadajkt debat pilkadadki debatfinaldki,0
96,nyinyir tingkat nasional debatfinalpilkadajkt,0
97,drama banget debatfinalpilkadajkt,0
98,judul nya debat serang paslon debatfinalpilkadajkt,0
99,lha menyerang gitu iya debatfinalpilkadajkt,0
100,debat berantem beda tipis debatfinalpilkadajkt,0
101,orang dibilang maki maki orang debatfinalpilkadajkt,0
102,perempuan berbeda kaum perempuan debatfinalpilkadajk,0
103,mantap ok oce anies sandi mengatasi urbanisasi lapangan kerja,0
104,ga seru mengungkit kekerasan verbal lakukan manusia debatfinalpilkadajkt,0
105,perempuan perempuan debatfinalpilkadajkt,0
106,debatfinalpilkadajkt paslon dikategorikan sbg kekerasan debat,0
107,maafkan biarkan malam memposting ujaran kebencian malam xoxo debatfinalpilkadajkt,0
108,semoga allah memenangkan anies sandi,0
109,debatfinalpilkadajkt non muslim coblos ahok muslim coblos djarot,0
110,debatfinalpilkadajkt pemimpin ciptakan suasana damai tentram adu domba hasutan,0
111,presiden kapolri ok oce tuh debatfinalpilkadajkt,0
112,banget keberpihakan media debatfinalpilkadajkt,0
113,bagus ilustrasi nya debatfinalpilkadajkt,0
114,ahok keren ',0
115,isi nya timeline twitter cm pemilihan kepala daerah membosankan,0
116,mohon tenang mohon tenang debatfinalpilkadajkt,0
117,ah diulang nya beda debatfinalpilkadajkt,0
118,perasaan deh om audio nya ga iya debatfinalpilkadajkt,0
119,tinggal pinggir kali tanah nya jualan pinggir jalan,0
120,sehatkan warga dki jakartaberlari pembangunan sejahterakan warga nya debatfinalpilkadajkt,0
121,diputuskan pacar program oke oce solusi nya debatfinalpilkadajkt,0
122,melibatkan paham bidang nya duduk memecahkan solusi kepemimpinan cerdas debatfinalpilkadajkt,0
123,laki laki mengalami kekerasan verbal kali mu dimarahi istri mu ayo mengaku,0
124,gerakan gerakan ala periksadata debatfinalpilkadajkt,0
125,mayoritas warga jakarta dipimpin gubernur emang iya debatfinalpilkadajkt,0
126,paslon serang paslon debatfinalpilkadajkt,0
127,upaya anies sandi mendukung perempuan pelaku ukm debatfinalpilkadajkt,0
128,salah indikator meningkat nya kualitas hidup warga jakarta adl tersenyum djarot malam,0
129,tontonan wajib ditunggu sehabis debatfinalpilkadajkt,0
130,ahok penyandang disabilitas debatfinalpilkadajkt,0
131,jeda ahok djarot sapa ganjar pranowo panggung,0
132,sayang hyung pencitraan wkwk,0
133,inget sm penjual kue balaikota cm ahok si sakit langsung diurus rs pencitraan,0
134,biar jajan sejuta,0
135,bio diganti astagfirullah rusak pencitraan cewek cantik,0
136,matanajwadebatjakarta iya ampun udh closing statement commentnya gitu iya,0
137,hah uda closing statement cepat debatfinalpilkadajkt,0
138,debatfinalpilkadajkt kali keren sesi kali sesi curhat,0
139,ketiga paslon gagal nya memuji kebaikan paslon,0
140,mari berjuang sbyudhoyono memenangkan saduddindhani pilkadakabbekasi bekasisah bekasiberjaya,0
141,jikapun aparatur dibeli kyai santri oplosan dibeli yng asli melawan ketidakadilan,0
142,pasangan unggul debat kandidat gubernur wagub dki jakarta malam,0
143,keberagaman dr hati terdalam dr pencitraan jktberagam,0
144,membangun bangsa negara engga metoda pencitraan teruji rekam jejak integritas tokoh nya,0
145,bersikap menjaga prilaku pencitraan orang,0
146,jujur curiga berbuat menuduh pencitraan bahagia iri abaikan,0
147,umat islam peduli agama mrk tergoda dg trik konyol inshaallah umat islam sdh sadar,0
148,aniesintoleran nanies baswedan memiliki integritas kredibilitas pemimpin,0
149,berita ahok penista agama penista agama kampanye jakarta pusat,0
150,sadis berita ahok judul nya diawali degan terdakwa penista agama nama,0
151,kemarin berita penyakit mengingitis babi maksud nyambungnya ahok,0
152,artis korea world tour ahmad dhani,0
153,ahok jakarta daging babi bali hubungan nya iya,0
154,ahmad dhani bangkrut ditagih utang video mantan istri nya janda kaya raya setahun,0
155,ahmad dhani sentil ahok eh sandiaga uno cengar cengir,0
156,hehhee mengagumi sesorng kecuali rasulullah,0
157,matanajwadebatjakarta acara uda habis debat sapa memaparkan prog solusi,0
158,koruptor meletakkan kitab suci ditempat rendah sok pemilik kapling surga,0
159,woww dukungan rakyat palestina ahok dituduhsbg penista agama mrk mengelu ahok ahok is the best,0
160,pencitraan socmed tanggung citra udh dibikin malu maluin kasian,0
161,kicauan ahmad dhani dilimpahkan polres metro jakarta selatan,0
162,komplit banget yaaaa heran nya percaya idolain,0
163,keadilan tercipta si penista agama vonis penjara berjamaahtolakreklamasi,0
164,saudara laki-laki fatwa penista agama mui gak mengeluarkan fatwa,0
165,sidang menguatkan ahok penista agama bantah,0
166,ahok akademisi ahmad dhani intelektual intelek bang anies,0
167,penista agama sesungguhnya agama suci alat mengejar jabatan kekuasaan,0
168,kalah pemilihan kepala daerah bekasi ahmad dhani juru kampanye pasangan anies sandi nenengyes,0
169,matanajwadebatjakarta bravo closing statement anies malam debat nonton mata najwa sdh suka,0
170,matanajwadebatjakarta anis bikin pas debat kemarin menarik nyambung,0
171,matanajwadebatjakarta buzzer ahok kerja keras ayo kerja gajian ga turun,0
172,matanajwadebatjakarta kerendahan hati lawan kerendahan hati banget,0
173,matanajwadebatjakarta gaya kayak sby iya,0
174,matanajwadebatjakarta kenyataan nya si anis nyaman banget isu sara nguntungin anis pura sok bijak pdhl menikmati isu sara,0
175,matanajwadebatjakarta nyesel lihat debat bermutu mencela,0
176,matanajwadebatjakarta kesimpulan rela gub seorg anies percaya ahok menang salam jari,0
177,ahoker panas dingin ahok kalah debat anis matanajwadebatjakarta,0
178,ga backsound penutup mata najwa musisi nya judul nya matanajwadebatjakarta,0
179,matanajwadebatjakarta p ahok apapun rakyat p anies tkt dicurangi mengerti beda nya,0
180,mantapppp mata najwa diskusi hidup mendidik berkualitas banding debat selenggarakan kpu,0
181,mbak najwa ayo ketengah kiri anies cpt menyelesaikan kalimat nya,0
182,ribut ribut pribumi vs non pribumi ramai beranda maksud nya,0
183,sedih lihat anies tokoh kagumi ' matanajwadebatjakarta,0
184,sp nya cm serang pribadi gak program dibanggakan matanajwadebatjakarta,0
185,om gedeg dengerin retorika ga wawasan terlanjur iya matanajwadebatjakarta,0
186,haduhhhh anies pendukung didatengin jakarta jakarta matanajwadebatjakarta,0
187,tertawa anies pendemo dr jawa barat ga ngomen takut kalah iya tertawa matanajwadebatjakarta,0
188,matanajwadebatjakarta uno habis m istri nya ga marah iya beli sepatu rb istri marah,0
189,matanajwadebatjakarta suka menyerang perang ibadah menyerang orang,0
190,matanajwadebatjakarta paslon serang membawa menyerang paslon tenang nya,0
191,aahhh akuh sedih akuh org depok jakarta manis jahattttt matanajwadebatjakarta,0
192,matanajwadebatjakarta saludd mata najwa berbobot perdebatan malam,0
193,orang bertanggung tindakan menuai positif sidangahok,0
194,sidangahok dugaan penistaan agama terdakwa murni isyu pemilihan kepala daerah dki jakarta murni islam,0
195,kejujuran pahala surga sabar iya basuki freeahok,0
196,orang bertanggung tindakan menuai positif sidangahok,0
197,matanajwadebatjakarta terima kasih pendidikan demokrasi rakyat indonesia jakarta,0
198,keberagaman dr hati terdalam dr pencitraan jktberagam,0
199,membangun bangsa negara engga metoda pencitraan teruji rekam jejak integritas tokoh nya,0
200,keberpihakan badan hukum merusak demokrasi important matanajwadebatjakarta,0
201,menceritakan kalimat dilontarkan anies bahasa matanajwadebatjakarta,0
202,lihat sosmed ahok menang telak sayang manis diserap bbrp warga matanajwadebatjakarta,0
203,mah basuki bebas iya freeahok,0
204,debat ahok diatas angin iya kliatan menguasai solusi tata kelola jakarta,0
205,lihat ahok kayak lihat power rangers merah,0
206,kesimpulan ahok fokus detail program anies fokus menjatuhkan lawan matanajwadebatjakarta,0
207,pertunjukan serius gak diganggu selamat gagasan nya matanajwadebatjakarta,0
208,berpihak melayani rakyat sepenuh hati tuhan kekuasaan tuhan mengambil ahok matanajwadebatjakarta,0
209,ahok blunder bagus nya komitmen menerima hasil kontestasi matanajwadebatjakarta,0
210,keberpihakan badan hukum merusak demokrasi important matanajwadebatjakarta,0
211,menceritakan kalimat dilontarkan anies bahasa matanajwadebatjakarta,0
212,debat ahok diatas angin iya kliatan menguasai solusi tata kelola jakarta,0
213,nya jakarta selamat berjuang ahok anies matanajwadebatjakarta,0
214,kah ahoker debat program jlebb ko kena uppercut anies kjp pergubnya rubah,0
215,penganut agama hak ahok matanajwadebatjakarta,0
216,heran ilklan kampanye ahokdjarot terbaru loh bingung akuang asiang aming iklanahokjahat,0
217,habis mencoblos streaming video perkembangan pemilihan kepala daerah pakai sisakuotagakhangus kuota ga habis deh,0
218,muslim diuji negara mayoritas islam semoga smua bersabar menahan berbicara kasar sbg balasan,0
219,nya jakarta selamat berjuang ahok anies matanajwadebatjakarta,0
220,anies inget tabur tuai takut matanajwadebatjakarta,0
221,metode penarikan sampel hitung cepat penelitian dan pengembangan kompas dlm pemilihan kepala daerah dki jakarta simak,0
222,mnding diem pergerakan mu disalahkan wktunya menang menang iklanahokjahat,0
223,perbincangan menarik quick count pemilihan kepala daerah netpilkada,0
224,bersyukur menutup kampanye berdoa pemilihan kepala daerah dki jakarta februari berjalan lancar,0
225,julia perez kecewa gagal mencoblos pemilihan kepala daerah dki tps rscm,0
226,disediakan ambulans pasien mencoblos pemilihan kepala daerah dki,0
227,pemilihan kepala daerah kehilangan hak dijamin konstitusi,0
228,iya allah anis sandi gubernur dki jakarta terpilih,0
229,domisili jakpus bela belain tps berlokasi jakbar bermodal e ktp ikutan pemilihan kepala daerah,0
230,presiden hak suara nya pemilihan kepala daerah dki jakarta tps gambir jakarta pusat netpilkada,0
231,agree kekuasaan tuhan kasih dijatuhkan tuhan menaikkan matanajwadebatjakarta,0
232,akibat nila setitik rusak susu sebelangga akibat mulut oknum terdidik rusak persatuan bangsa iklanahokjahat,0
233,mudah mudahan novel baswedan alami kebutaan mata nya buta mendonorkan mata,0
234,merubah pemilih iklanahokjahat,0
235,salah ahok iklan nya diprotes orang pakai spanduk iklanahokjahat,0
236,mengerti dp rumah gmn skema nya emg iya perbankan kredit rumah gak pakai dp debatfinalpilkadadki,0
237,debatfinalpilkadadki anies gubernur pemimpin administratur pelayan masyarkt melayani mencerminkan integritas,0
238,kalimat penutup anies ambisius ahok maaf karakter bohong debatpilkadadki debatfinalpilkadadki,0
239,pertunjukan serius gak diganggu selamat gagasan nya matanajwadebatjakarta,0
240,terprovokasi sentimen jualan sara mu cinta indonesia iklanahokjahat,0
241,umat suguhkan iklanahokjahat menebar kebencian kerukunan umat beragama,0
242,polling anies sandi menang semoga h nya aniessandi,0
243,iklankan kampanye ahox sebarin spanduk syariah brosur black campaign iklanahokjahat,0
244,oke oce brand dimana oke oce kampung oke oce debatfinalpilkadadki,0
245,sungguh mengherankan mengkampanyekan kebhinekaan menyebarkan islamophobia kebhinekaan,0
246,debat final pemilihan kepala daerah dki jakarta gagap adjat sudradjat,0
247,pemimpin dikaitkan lisan beda nya gubernur anak anak matanajwadebatjakarta,0
248,cerita djarot diharapkan pendukung berdamai debatfinalpilkadadki temanahok aniessandi,0
249,cuman bilang serius banget ngetweet pakai hastag iklanahokjahat gitu baper,0
250,ira koesno didekati anies sandi marahi pendukung paslon debat pemilihan kepala daerah dki,0
251,alhamdulillah iya allah swt semoga jakarta gubernur bersahaja bersahabat aniessandi,0
252,jelang larut semalam diskusi aktifis golkar tingkat kelurahan bergabung pemenangan aniessandi,0
253,sosok anies sandi diakui mengayomi kompeten membangun kerukukan kebhinekaan jakarta,0
254,bicara manis gampang giliran kerja bingung matanajwadebatjakarta,0
255,april warga jakarta menentukan ibukota,0
256,terimakasih anies pemaparantentang dp solusi warga jakarta rumah nyewa,0
257,perhatikan tim mas sibuk ngoceh program nya gak mengurus,0
258,pilih gubernur jujur kerja nyata anti korupsi pinter mlyani rakyat iklas peduli pilih ahok djarot,0
259,merangkul menegakkan hukum kepemimpinan hadir contoh perbuatan,0
260,hasil kerja ahok djarot sungai jakarta normal bersih enak dipandang,0
261,ahok anies baiknya bagus nya oke nya kepilih menang rakyat jakarta,0
262,semoga basuki presiden indonesia maju,0
263,allah swt butuh butuh allah rezeki hidup mati mu allah tentukan khianati allah gak nyesel sidangahok,0
264,sidangahok dilanjutkan rekaman memuat kampanye ahok dpp nasdem pulau seribu,0
265,ahok bebas hukum keadilan kelanjutan perbaikan dki semoga hakim mmpunyai sense of justice,0
266,pembangkit listrik tenaga panas bumi terbesar dunia citipeka sidangahok tebak anhajidjarot,0
267,toleransi muslim menjalankan perintah agama nya non muslim menjalankan agama nya,0
268,arti nya teman setia dihindari pemimpin,0
269,kejujuran pahala dr surga freeahok,0
270,mah basuki bebas iya freeahok,0
271,sidang drama korea kali menunggu sidang ahok season kayaknya goblin mah kalah pamor nya,0
272,transportasi online kah tarif murah aman nyaman melayani,0
273,nelayan jakarta disiapin pulau khusus pemerintah daerah dki lunchbreak sidangahok,0
274,kah potensi radikalisme pilgub dki jakarta lunchbreak sidangahok,0
275,siaran ulang ahokdjarotdirosi malam saksikan yuk ahokdjarot temanahok,0
276,org salah takut doa salah takut bertobat doa dinyatakan,0
277,selamat pagi met aktifitas bahagia weekend semoga orang jujur biar hidup slalu mujur aamiin freeahok,0
278,ahok dituntut penjara divonis bebas nya warga dki terlanjur kehilangan pemimpin terbaik freeahok,0
279,alhamdulillah tuntutan jaksa percobaan arti nya sbnrnya jaksa mengakui ahok bersalah freeahok,0
280,kalah menang tetapahok terimakasih pelajaran kerja keras rakyat bersih,0
281,pemilihan kepala daerah serentak megawati intimidasi politik uang,0
282,thw anies sandiaga doa ustaz debat pemilihan kepala daerah,0
283,lelah mengabdi indonesia tetapahok,0
284,menang anies rangkul paslon menang kontestasi pemilihan kepala daerah,0
285,tni polri bersinergi jaga keamanan jelang pemilihan kepala daerah dki tni polri bersin,0
286,bismillah inshaa allah agus sylvi menang pemilihan kepala daerah dki putaran pemimpin amanah mencintai rakyat jakarta,0
287,terima kasih kasih uda bikin jakarta menjabat,0
288,sikap ketertiban keamanan kota negara menjelang pemilihan kepala daerah dki jakarta,0
289,rencana tuhan rencana manusia ahok kebih posisi,0
290,kalah terhormat mendukung badja terimakasihahok,0
291,basuki ahok wawancara informal wartawan balaikota,0
292,terimakasih ahok tetapahok kalah selamat gubernur,0
293,lucu yuk ahok promosikan musik dangdut tamu mancanegara,0
294,minggu tenang pemilihan kepala daerah ahok fokus kerja balai kota peresmian peresmian rptra csr ditunda,0
295,mantab ahok pemprov dki jakarta terjunkan alat berat keruk sampah waduk pluit,0
296,pagi polrestro bekasi gelar pasukan pemilihan kepala daerah,0
297,bantu sbg orang ahok beliau blusukanahok,0
298,ahok gubernur lupa bangun provinsi jambi lahan petani jalan kreta api jambi riau lampung,0
299,partai nasdem optimis menang pemilihan kepala daerah serentak,0
300,biar kalah bangga sabar iklas menerima nya bnyak jabatan ahok tetapahok,0
301,sabar iklas iya hasil nya dukung mna jabatn emban tetapahok,0
302,wlaupun kenal yakini slama tlah bkerja kras tuk nilai diperjuangkan,0
303,mgk mendukung dlm kejujuran niat melayani warga gantiin dlm pekerjaan,0
304,puluhan personel brimob nunukan diberangkatkan amankan pemilihan kepala daerah provinsi,0
305,sing sabar simpen energi indonesia gusti allah mboten sare,0
306,memilih sehat kompensasikan sarapan pagi uhm gak sehat impas,0
307,mahfud md heran uu pemerintah daerah mendagri keras kepala pertahankan ahok,0
308,tuips sinta nuriyah mengeluarkan pernyataan terkait pemilihan kepala daerah dki,0
309,jatuh hati deh nya berpaling pilihan ahok djarotlah terbaik,0
310,yoi pemenagnya pasang calon buka memiliki peluang,0
311,aksi diubah zikir pemilihan kepala daerah zikir ibadah dekatkan allah,0
312,pemilihan kepala daerah kepentingan politik persahabatan persaudaraan terputus saudara,0
313,pemilihan kepala daerah beltim kampung ahok suara babel kalah telak pemilihan kepala daerah dki suara,0
314,iya allah beneran ahok samperin si emak,0
315,terimakasih nya sbg wakil gubernur sbg gubernur,0
316,kesimpulan nya tuips mari menangkan agus sylvi putaran gak pakai putaran habiskan,0
317,selamat kemenangan nya anies sandi semoga jakarta bersatu,0
318,bangga memiliki putra bangsa basuki jarot,0
319,teman teman apapun pilihan nya kehidupan pemilihan kepala daerah mari merangkul nya jakarta maju bahagia,0
320,selamat status nya aniessandi semangat iya semoga sesuai janji nya,0
321,ahok tetep semangat yaaa menghargai kerja keras ucapkan selamat kemenangan paslon nomor aniessandi,0
322,terima kasih ahok djarot bangga perna pimpin berdua semangat sukses,0
323,terima kasih ahok djarot,0
324,sumarsono gaya ahok kerja keras patut dicontoh bagus,0
325,jujur pakai hati nurani ahok terbaik jakarta gubernur jujur perhatian warga,0
326,ahok the best salut orang nya sabar cobaan tuhan ahok is the best,0
327,terima kasih ahok ajarkan makna peduli rakyat andai kesempatan,0
328,hadeuuuh gaduh gini pemilihan kepala daerah dki iya pemilihan kepala daerah serentak aman aman,0
329,masyarakat transportasi jakarta dukung ahok djarot,0
330,tertarik debat pemilihan kepala daerah dki menarik salah cagub mengepalkan tangan menjelas,0
331,semangat maju tuhan god bless you more and forever ahok family,0
332,selamat bertugas anis semoga jakarta,0
333,selamat iya tunggu program terealisasi kecewakan jakarta,0
334,mendoakan terbaik untk ucapan saudara gaza palestina,0
335,selamat untk kemenangan nya semoga allah memberkahi disetiap langkah ambil aminnn salam jari,0
336,terbaik ajang debat terbuka,0
337,anies selamat iya terpilih gubernur wagub jakarta,0
338,kejahatan perbankan spin tim ahy kepentingan pemilihan kepala daerah,0
339,agus sylvi diprediksi maju putaran pemilihan kepala daerah dki versi survey grp,0
340,alhamdulillah sambutan antusias warga blusukan ahok real settingan,0
341,detik ahok harapan terbesar prayforjakarta,0
342,tuhan rencana indah ahok djarot,0
343,selamat terima kasih ahok djarot menunjukan negara orang,0
344,terima kasih kebaikan jakarta tancapkan hati warga jakarta,0
345,anies sandi menang,0
346,terima kasih pendukung percaya tuhan terbaik jakartapunyasemua,0
347,gubernur wakil gubernur terbaik jakarta miliki,0
348,jelang tugas plt gubernur dki akui kinerja ahok,0
349,pendukung dibaiat pilih agus sylvi terima risiko nya,0
350,mutiara mutiara ahok djarot tuhan pny rencana dahsyat ber indonesia maju,0
351,tuhan percayakan ahok gubernur dki jakarta,0
352,i love you ahok berdoa semoga tuhan memberkati salam jari pa ahok i love you,0
353,survei terbaru anies sandi melejit tinggalkan ahok djarot,0
354,akui ahok tangguh nya,0
355,mendukung berdoa mu ahokdjarot terimakasih,0
356,badj pelayan rakyat berdoa terbaik badja bangga memiliki,0
357,mudah han ahok nomor indonesia,0
358,tps paslon pemilihan kepala daerah dki dijaga ketat,0
359,penduduk jakarta kagum sosok ahok jarot allah rencana selamat beliau,0
360,anies tolong bongkar masjid bangun ahok daan mogot,0
361,move on lebih baik besok piknik selagi long weekend hehehe,0
362,semoga meneladani sosok bang yos gubernur jakarta cinta,0
363,pemimpin pemimpin mengerti jiwa pemuda lanjutkan,0
364,mendulungmu jakarta maju ekonomi nya prestasi sepakbola nya,0
365,negara negara bhineka tunggal ika ga lihat pemimpin agama ras budaya,0
366,mendulungmu jakarta maju ekonomi nya prestasi sepakbola nya,0
367,patung nya tanda jasa indo madame tussaud,0
368,doa tuhan doa jelek jahat berbalik mendoakan loh,0
369,badja jakarta butuh indonesia menunggu pengabdian,0
370,artikel mas reklamasi penggusuran dp rupiah oke oce figur pemersatu,0
371,besokgueahok terbukti teruji segi kerja nya ahok dki jakarta tetapahok,0
372,ga tinggal jakarta sih rumah ngotot banget dukung,0
373,semangat pemilihan kepala daerah mu pilihan mu ku pilihan ku tetapahok,0
374,perbedaan vital reklamasi perumahan gak berkutik,0
375,sabar tergesa nagih beliau dilantik oktober,0
376,mampir orangtua ngefans banget,0
377,semoga maju nya gubernur era,0
378,masyarakat jakarta jakarta hasil nya terbukti,0
379,masyarakat jakarta salut kepemimpinan ahok,0
380,sayang ahok berharap ahok presiden jokowi,0
381,milik jakarta ahok milik membangun jakarta,0
382,ahok cagub bekasi iya bekasi dipimpin orang biar perubahan,0
383,kekalahan ahok kemunduran peradaban indonesia selamat radikalisme akal sehat dinegara,0
384,semangat ahok berjuang sekuat tenaga berusaha terbaik terima kasih,0
385,terima kasih mengabdi dijakarta segudang permintaan warga,0
386,menyakitkan iya semoga semangat kedepan nya,0
387,menang menikmati kerja keras menjabat terima kasih ahok,0
388,miris iya ahok sukses slalu my idola ahok,0
389,suka ahok bantuin jokowi ngurusin indonesia cepat maju jakarta,0
390,pngn peluk bilang semangat iya mendoakan terbaik,0
391,aya warga jakarta jakarta bangga jakarta pegang rapih,0
392,seyogyanya pilihan ku tetapahok pencerahan sistem birokrasi,0
393,ahok gubenur dihati ku,0
394,lahir jakarta detik lihat kali pintu air manggarai bersih sampah iya pas jaman jokowi ahok tetapahok,0
395,tidak apa-apa kalah rejekinya iya pemimpin jujur berkarya nyata,0
396,tinggal jakarta perubahan sadar akitbat gubernur nya,0
397,cinta ahok terimakasih iya jasa jasa kerja nyata nya,0
398,semangat ahok terimakasih jakarta sukses ahok,0
399,ahok mendukung apapun,0
400,terima kasih kinerja keras ahok team memimpin dki jakarta semangat god bless family,0
401,ahok sosok banggakan terimakasih merubah jakarta,0
402,semoga ahok dlm lindungan tuhan sayang ahok ahok orang,0
403,terima kasih basuki sejarah mencatat membawa perubahan warga jakarta,0
404,lanjutkan perjuangan orang ditempatkan,0
405,terhebat inspirasi pengalaman berharga,0
406,ahok berkarya kesempatan,0
407,setuju gubenur kerja bagus kerena kerja basuki keluarga mendukung basuki,0
408,terbaik jakarta terima kasih kerjakan semoga allah meridhoi langkah,0
409,jabatan terpenting orang terhebat jakarta kerja keras ahok terima kasih ahok,0
